
================ degree  seed=1  (Pp=0 Pd=100 Pt=0 rewire=False k=5 c=2 eps=0,02 qmax=0,2 N=10000 theta=6 crash=0 shape=0 multi=1 randrw=0 oracle=False fixedthr=0) ================

================ trend  seed=1  (Pp=100 Pd=0 Pt=25000 rewire=True k=5 c=2 eps=0,02 qmax=0,2 N=10000 theta=6 crash=0 shape=0 multi=1 randrw=0 oracle=False fixedthr=0) ================

================ rewireonly  seed=1  (Pp=100 Pd=0 Pt=0 rewire=True k=5 c=2 eps=0,02 qmax=0,2 N=10000 theta=6 crash=0 shape=0 multi=1 randrw=0 oracle=False fixedthr=0) ================

================ popularity  seed=1  (Pp=100 Pd=0 Pt=0 rewire=False k=5 c=2 eps=0,02 qmax=0,2 N=10000 theta=6 crash=0 shape=0 multi=1 randrw=0 oracle=False fixedthr=0) ================

================ weightonly  seed=1  (Pp=100 Pd=0 Pt=25000 rewire=False k=5 c=2 eps=0,02 qmax=0,2 N=10000 theta=6 crash=0 shape=0 multi=1 randrw=0 oracle=False fixedthr=0) ================
t=3200  N=3209  holderDeg=3  probe(ttl4/6/8/12)=0/2/6/10 of 20
t=2600  N=2609  holderDeg=-1  probe(ttl4/6/8/12)=0/0/0/0 of 20
t=3200  N=3209  holderDeg=3  probe(ttl4/6/8/12)=0/4/2/3 of 20
t=3000  N=3009  holderDeg=3  probe(ttl4/6/8/12)=1/1/7/9 of 20
t=3200  N=3209  holderDeg=3  probe(ttl4/6/8/12)=0/1/4/10 of 20
t=3200  N=3209  holderDeg=3  probe(ttl4/6/8/12)=0/1/6/6 of 20
t=3000  N=3009  holderDeg=3  probe(ttl4/6/8/12)=0/4/7/9 of 20
t=3400  N=3409  holderDeg=3  probe(ttl4/6/8/12)=1/5/7/7 of 20
t=3400  N=3409  holderDeg=3  probe(ttl4/6/8/12)=0/4/4/6 of 20
t=2800  N=2809  holderDeg=-1  probe(ttl4/6/8/12)=0/0/0/0 of 20
t=3200  N=3209  holderDeg=3  probe(ttl4/6/8/12)=0/1/4/6 of 20
t=3400  N=3409  holderDeg=3  probe(ttl4/6/8/12)=0/1/4/6 of 20
t=3200  N=3209  holderDeg=3  probe(ttl4/6/8/12)=0/2/6/7 of 20
t=3400  N=3409  holderDeg=3  probe(ttl4/6/8/12)=0/3/0/4 of 20
t=2600  N=2609  holderDeg=-1  probe(ttl4/6/8/12)=0/0/0/0 of 20
t=3000  N=3009  holderDeg=3  probe(ttl4/6/8/12)=1/5/5/9 of 20
t=3600  N=3609  holderDeg=3  probe(ttl4/6/8/12)=0/2/4/7 of 20
t=3600  N=3609  holderDeg=3  probe(ttl4/6/8/12)=0/2/5/6 of 20
t=3600  N=3609  holderDeg=5  probe(ttl4/6/8/12)=1/4/7/6 of 20
t=3400  N=3409  holderDeg=3  probe(ttl4/6/8/12)=0/3/3/7 of 20
t=3400  N=3409  holderDeg=3  probe(ttl4/6/8/12)=0/2/6/11 of 20
t=3600  N=3609  holderDeg=3  probe(ttl4/6/8/12)=1/1/4/2 of 20
t=2800  N=2809  holderDeg=3  probe(ttl4/6/8/12)=0/3/6/4 of 20
t=3200  N=3209  holderDeg=3  probe(ttl4/6/8/12)=0/1/5/13 of 20
t=3600  N=3609  holderDeg=3  probe(ttl4/6/8/12)=0/1/4/8 of 20
t=3800  N=3809  holderDeg=7  probe(ttl4/6/8/12)=5/5/9/12 of 20
t=3800  N=3809  holderDeg=3  probe(ttl4/6/8/12)=1/2/6/5 of 20
t=3600  N=3609  holderDeg=3  probe(ttl4/6/8/12)=1/1/3/6 of 20
t=3800  N=3809  holderDeg=3  probe(ttl4/6/8/12)=1/1/3/5 of 20
t=3800  N=3809  holderDeg=3  probe(ttl4/6/8/12)=0/2/6/7 of 20
t=4000  N=4009  holderDeg=9  probe(ttl4/6/8/12)=1/3/13/14 of 20
t=3800  N=3809  holderDeg=3  probe(ttl4/6/8/12)=0/1/2/4 of 20
t=3400  N=3409  holderDeg=3  probe(ttl4/6/8/12)=1/6/3/10 of 20
t=4000  N=4009  holderDeg=3  probe(ttl4/6/8/12)=0/3/2/7 of 20
t=3000  N=3009  holderDeg=3  probe(ttl4/6/8/12)=0/1/1/7 of 20
t=3800  N=3809  holderDeg=3  probe(ttl4/6/8/12)=0/1/6/7 of 20
t=4200  N=4209  holderDeg=12  probe(ttl4/6/8/12)=0/3/12/18 of 20
t=4000  N=4009  holderDeg=3  probe(ttl4/6/8/12)=0/0/5/9 of 20
t=4000  N=4009  holderDeg=3  probe(ttl4/6/8/12)=0/7/3/3 of 20
t=4200  N=4209  holderDeg=3  probe(ttl4/6/8/12)=0/0/2/9 of 20
t=4000  N=4009  holderDeg=3  probe(ttl4/6/8/12)=0/3/1/7 of 20
t=3200  N=3209  holderDeg=3  probe(ttl4/6/8/12)=0/1/5/3 of 20
t=4200  N=4209  holderDeg=3  probe(ttl4/6/8/12)=0/1/6/7 of 20
t=3600  N=3609  holderDeg=3  probe(ttl4/6/8/12)=0/1/5/11 of 20
t=4400  N=4409  holderDeg=3  probe(ttl4/6/8/12)=0/1/3/5 of 20
t=4400  N=4409  holderDeg=14  probe(ttl4/6/8/12)=1/11/15/20 of 20
t=4000  N=4009  holderDeg=3  probe(ttl4/6/8/12)=1/2/4/8 of 20
t=4200  N=4209  holderDeg=3  probe(ttl4/6/8/12)=0/2/6/6 of 20
t=4200  N=4209  holderDeg=3  probe(ttl4/6/8/12)=0/1/3/2 of 20
t=3400  N=3409  holderDeg=3  probe(ttl4/6/8/12)=1/2/2/2 of 20
t=4400  N=4409  holderDeg=5  probe(ttl4/6/8/12)=1/3/4/13 of 20
t=4600  N=4609  holderDeg=3  probe(ttl4/6/8/12)=0/1/4/8 of 20
t=4600  N=4609  holderDeg=16  probe(ttl4/6/8/12)=0/5/15/19 of 20
t=3800  N=3809  holderDeg=3  probe(ttl4/6/8/12)=0/4/2/9 of 20
t=4200  N=4209  holderDeg=3  probe(ttl4/6/8/12)=1/1/3/10 of 20
t=4400  N=4409  holderDeg=3  probe(ttl4/6/8/12)=0/1/7/5 of 20
t=4400  N=4409  holderDeg=3  probe(ttl4/6/8/12)=0/1/5/5 of 20
t=4800  N=4809  holderDeg=3  probe(ttl4/6/8/12)=2/2/5/12 of 20
t=4600  N=4609  holderDeg=7  probe(ttl4/6/8/12)=0/5/11/15 of 20
t=4400  N=4409  holderDeg=5  probe(ttl4/6/8/12)=2/4/7/14 of 20
t=4800  N=4809  holderDeg=19  probe(ttl4/6/8/12)=2/11/17/20 of 20
t=4600  N=4609  holderDeg=3  probe(ttl4/6/8/12)=0/0/6/4 of 20
t=4600  N=4609  holderDeg=3  probe(ttl4/6/8/12)=0/0/1/3 of 20
t=5000  N=5009  holderDeg=3  probe(ttl4/6/8/12)=0/1/2/3 of 20
t=4600  N=4609  holderDeg=7  probe(ttl4/6/8/12)=0/3/11/12 of 20
t=4000  N=4009  holderDeg=3  probe(ttl4/6/8/12)=1/2/2/10 of 20
t=5000  N=5009  holderDeg=24  probe(ttl4/6/8/12)=3/6/20/19 of 20
t=4800  N=4809  holderDeg=9  probe(ttl4/6/8/12)=0/1/4/12 of 20
t=5200  N=5209  holderDeg=3  probe(ttl4/6/8/12)=1/1/1/10 of 20
t=3600  N=3609  holderDeg=3  probe(ttl4/6/8/12)=0/0/3/6 of 20
t=4800  N=4809  holderDeg=9  probe(ttl4/6/8/12)=0/2/10/18 of 20
t=4800  N=4809  holderDeg=3  probe(ttl4/6/8/12)=0/2/8/6 of 20
t=4800  N=4809  holderDeg=3  probe(ttl4/6/8/12)=0/0/2/3 of 20
t=5400  N=5409  holderDeg=3  probe(ttl4/6/8/12)=0/1/4/8 of 20
t=5000  N=5009  holderDeg=3  probe(ttl4/6/8/12)=0/2/5/8 of 20
t=5200  N=5209  holderDeg=26  probe(ttl4/6/8/12)=6/10/18/20 of 20
t=5000  N=5009  holderDeg=11  probe(ttl4/6/8/12)=1/5/7/16 of 20
t=3800  N=3809  holderDeg=3  probe(ttl4/6/8/12)=0/0/3/7 of 20
