
================ trendatt  seed=2  (Pp=100 Pd=0 Pt=25000 rewire=True k=5 c=2 eps=0,02 qmax=0,2 N=10000 theta=6 crash=0 shape=0 multi=1 randrw=0 oracle=False fixedthr=0 rules=7 cooper=False dmax=160 mu=1 noscale=False) ================

================ trendatt  seed=1  (Pp=100 Pd=0 Pt=25000 rewire=True k=5 c=2 eps=0,02 qmax=0,2 N=10000 theta=6 crash=0 shape=0 multi=1 randrw=0 oracle=False fixedthr=0 rules=7 cooper=False dmax=160 mu=1 noscale=False) ================
t=6400  N=6409  holderDeg=24  probe(ttl4/6/8/12)=3/9/16/20 of 20
t=6800  N=6809  holderDeg=45  probe(ttl4/6/8/12)=8/11/20/20 of 20
t=7000  N=7009  holderDeg=49  probe(ttl4/6/8/12)=2/16/20/20 of 20
t=6600  N=6609  holderDeg=27  probe(ttl4/6/8/12)=2/8/18/20 of 20
t=7200  N=7209  holderDeg=52  probe(ttl4/6/8/12)=3/13/19/20 of 20
t=6800  N=6809  holderDeg=29  probe(ttl4/6/8/12)=3/5/17/20 of 20
t=7400  N=7409  holderDeg=56  probe(ttl4/6/8/12)=7/12/19/20 of 20
t=7600  N=7609  holderDeg=58  probe(ttl4/6/8/12)=3/13/20/20 of 20
t=7000  N=7009  holderDeg=31  probe(ttl4/6/8/12)=2/6/20/20 of 20
t=7200  N=7209  holderDeg=34  probe(ttl4/6/8/12)=1/10/18/20 of 20
t=7800  N=7809  holderDeg=60  probe(ttl4/6/8/12)=3/11/20/20 of 20
t=7400  N=7409  holderDeg=36  probe(ttl4/6/8/12)=1/12/20/19 of 20
t=8000  N=8009  holderDeg=65  probe(ttl4/6/8/12)=3/13/20/20 of 20
t=7600  N=7609  holderDeg=38  probe(ttl4/6/8/12)=3/13/18/20 of 20
t=8200  N=8209  holderDeg=68  probe(ttl4/6/8/12)=2/14/20/20 of 20
t=7800  N=7809  holderDeg=40  probe(ttl4/6/8/12)=3/13/18/20 of 20
t=8000  N=8009  holderDeg=44  probe(ttl4/6/8/12)=0/11/17/20 of 20
t=8400  N=8409  holderDeg=70  probe(ttl4/6/8/12)=3/10/20/20 of 20
t=8200  N=8209  holderDeg=49  probe(ttl4/6/8/12)=0/14/19/20 of 20
t=8600  N=8609  holderDeg=73  probe(ttl4/6/8/12)=5/18/20/20 of 20
t=8800  N=8809  holderDeg=76  probe(ttl4/6/8/12)=5/11/20/20 of 20
t=8400  N=8409  holderDeg=51  probe(ttl4/6/8/12)=1/10/20/20 of 20
t=9000  N=9009  holderDeg=80  probe(ttl4/6/8/12)=2/15/20/20 of 20
t=8600  N=8609  holderDeg=54  probe(ttl4/6/8/12)=2/12/20/20 of 20
t=9200  N=9209  holderDeg=82  probe(ttl4/6/8/12)=4/14/20/20 of 20
t=8800  N=8809  holderDeg=56  probe(ttl4/6/8/12)=5/9/20/20 of 20
t=9000  N=9009  holderDeg=58  probe(ttl4/6/8/12)=2/10/19/20 of 20
t=9400  N=9409  holderDeg=85  probe(ttl4/6/8/12)=2/13/20/20 of 20
t=9200  N=9209  holderDeg=62  probe(ttl4/6/8/12)=3/13/19/20 of 20
t=9600  N=9609  holderDeg=89  probe(ttl4/6/8/12)=3/12/20/20 of 20
t=9400  N=9409  holderDeg=64  probe(ttl4/6/8/12)=4/12/20/20 of 20
t=9800  N=9809  holderDeg=92  probe(ttl4/6/8/12)=6/14/20/20 of 20
t=9600  N=9609  holderDeg=67  probe(ttl4/6/8/12)=1/10/18/20 of 20
t=9800  N=9809  holderDeg=71  probe(ttl4/6/8/12)=2/12/19/20 of 20
t=10000  N=10009  holderDeg=95  probe(ttl4/6/8/12)=2/14/20/20 of 20
t=10000  N=10009  holderDeg=74  probe(ttl4/6/8/12)=1/13/20/20 of 20
t=10200  N=10209  holderDeg=97  probe(ttl4/6/8/12)=3/13/20/20 of 20
t=10200  N=10209  holderDeg=78  probe(ttl4/6/8/12)=1/11/20/20 of 20
t=10400  N=10409  holderDeg=100  probe(ttl4/6/8/12)=2/12/20/20 of 20
t=10400  N=10409  holderDeg=83  probe(ttl4/6/8/12)=3/12/18/20 of 20
t=10600  N=10609  holderDeg=103  probe(ttl4/6/8/12)=2/15/20/20 of 20
t=10600  N=10609  holderDeg=85  probe(ttl4/6/8/12)=3/15/20/20 of 20
t=10800  N=10809  holderDeg=105  probe(ttl4/6/8/12)=2/15/20/20 of 20
t=10800  N=10809  holderDeg=88  probe(ttl4/6/8/12)=3/11/20/20 of 20
t=11000  N=11009  holderDeg=108  probe(ttl4/6/8/12)=4/15/20/20 of 20
t=11000  N=11009  holderDeg=90  probe(ttl4/6/8/12)=1/12/20/20 of 20
