
================ cooperm  seed=1  (Pp=100 Pd=0 Pt=0 rewire=False k=5 c=2 eps=0,02 qmax=0,2 N=10000 theta=6 crash=0 shape=0 multi=1 randrw=0 oracle=False fixedthr=0 rules=7 cooper=True dmax=113 mu=1 noscale=False) ================

================ cooperm  seed=2  (Pp=100 Pd=0 Pt=0 rewire=False k=5 c=2 eps=0,02 qmax=0,2 N=10000 theta=6 crash=0 shape=0 multi=1 randrw=0 oracle=False fixedthr=0 rules=7 cooper=True dmax=113 mu=1 noscale=False) ================

================ cooperd  seed=1  (Pp=100 Pd=0 Pt=0 rewire=False k=5 c=2 eps=0,02 qmax=0,2 N=10000 theta=6 crash=0 shape=0 multi=1 randrw=0 oracle=False fixedthr=0 rules=7 cooper=True dmax=113 mu=0,95 noscale=False) ================
t=4200  N=4209  holderDeg=24  probe(ttl4/6/8/12)=1/12/20/20 of 20
t=4200  N=4209  holderDeg=38  probe(ttl4/6/8/12)=1/17/20/20 of 20
t=4400  N=4409  holderDeg=38  probe(ttl4/6/8/12)=0/18/20/20 of 20
t=4400  N=4409  holderDeg=23  probe(ttl4/6/8/12)=0/8/20/20 of 20
t=4400  N=4409  holderDeg=34  probe(ttl4/6/8/12)=4/17/20/20 of 20
t=4600  N=4609  holderDeg=35  probe(ttl4/6/8/12)=2/16/20/20 of 20
t=4600  N=4609  holderDeg=24  probe(ttl4/6/8/12)=3/11/20/20 of 20
t=4600  N=4609  holderDeg=37  probe(ttl4/6/8/12)=3/9/20/20 of 20
t=4800  N=4809  holderDeg=38  probe(ttl4/6/8/12)=2/10/20/20 of 20
t=4800  N=4809  holderDeg=27  probe(ttl4/6/8/12)=1/9/20/20 of 20
t=4800  N=4809  holderDeg=36  probe(ttl4/6/8/12)=2/12/20/20 of 20
t=5000  N=5009  holderDeg=39  probe(ttl4/6/8/12)=2/13/20/20 of 20
t=5000  N=5009  holderDeg=29  probe(ttl4/6/8/12)=0/14/20/20 of 20
t=5000  N=5009  holderDeg=37  probe(ttl4/6/8/12)=2/16/20/20 of 20
t=5200  N=5209  holderDeg=39  probe(ttl4/6/8/12)=3/10/20/20 of 20
t=5200  N=5209  holderDeg=28  probe(ttl4/6/8/12)=1/12/20/20 of 20
t=5200  N=5209  holderDeg=40  probe(ttl4/6/8/12)=2/15/20/20 of 20
t=5400  N=5409  holderDeg=39  probe(ttl4/6/8/12)=3/9/20/20 of 20
t=5400  N=5409  holderDeg=31  probe(ttl4/6/8/12)=2/12/20/20 of 20
t=5400  N=5409  holderDeg=35  probe(ttl4/6/8/12)=0/12/20/20 of 20
t=5600  N=5609  holderDeg=38  probe(ttl4/6/8/12)=2/16/20/20 of 20
t=5600  N=5609  holderDeg=30  probe(ttl4/6/8/12)=1/16/20/20 of 20
