step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,65,-1,0,56,0,100,0,114,0,116,0,16,25,115,0,0,562,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,126,-1,0,68,0,166,0,209,0,213,0,16,47,208,0,0,1112,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,178,-1,0,77,0,205,0,286,0,310,0,20,52,288,0,0,1693,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,227,-1,0,83,0,263,0,385,0,432,0,19,48,391,0,0,2244,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,285,-1,0,85,0,284,0,461,0,530,0,20,92,464,0,0,2817,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,335,-1,0,88,0,311,0,535,0,628,0,20,95,534,0,0,3396,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,401,-1,0,84,0,330,0,572,0,709,0,20,118,583,0,0,3974,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,465,-1,0,90,0,350,0,640,0,804,0,20,116,646,0,0,4564,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,524,-1,0,88,0,368,0,704,0,908,0,20,135,695,0,0,5138,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,588,-1,0,85,0,382,0,743,0,959,0,20,121,737,1,2,5722,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,644,-1,0,89,0,390,0,822,0,1060,0,20,157,806,0,0,6293,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,705,-1,0,89,0,401,0,822,0,1144,0,20,155,831,4,8,6892,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,765,-1,0,95,0,421,0,917,0,1250,0,20,185,912,5,10,7476,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,827,-1,0,91,0,445,0,954,0,1345,0,20,197,958,4,8,8065,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,898,3,0,96,1,431,6,1025,12,1451,0,20,184,1004,3,6,8636,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,948,3,1,96,1,456,7,1059,11,1541,0,20,179,1061,2,4,9212,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,1010,3,0,100,2,458,5,1123,17,1654,0,20,239,1114,3,6,9776,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3600,3609,1071,3,0,96,1,476,9,1164,16,1717,0,20,239,1160,4,8,10368,0,3,9,0,-1,0,0,-1,0,0,-1,0,0
3800,3809,1122,3,0,92,1,476,10,1192,13,1814,0,20,255,1183,5,10,10961,0,3,5,0,-1,0,0,-1,0,0,-1,0,0
4000,4009,1187,3,0,96,1,488,7,1204,17,1881,0,20,232,1231,3,6,11550,0,3,3,0,3,8,0,-1,0,0,-1,0,0
4200,4209,1243,3,0,96,3,493,6,1276,15,1988,0.0129,20,263,1288,2,4,12125,0,3,5,0,3,7,0,-1,0,0,-1,0,0
4400,4409,1295,3,0,95,2,510,8,1327,19,2067,0.01,20,262,1338,0,0,12712,0,3,5,0,3,4,0,-1,0,0,-1,0,0
4600,4609,1360,3,0,98,1,491,4,1319,15,2114,0.0078,20,267,1318,1,2,13303,0,3,5,0,3,6,0,3,6,0,-1,0,0
4800,4809,1418,3,0,96,0,514,6,1386,18,2193,0.006,20,281,1381,1,2,13885,0,3,4,0,3,7,0,3,7,0,-1,0,0
5000,5009,1469,3,0,99,2,505,6,1379,17,2256,0.0045,20,255,1372,0,0,14472,0,3,2,0,3,4,0,3,5,0,-1,0,0
5200,5209,1529,3,0,100,1,526,6,1429,15,2342,0.014,20,291,1416,0,0,15062,0,3,4,0,3,7,0,3,7,0,3,6,0
5400,5409,1590,3,0,95,1,533,4,1460,17,2430,0.0107,20,314,1477,1,2,15647,0,3,3,0,3,2,0,3,9,0,3,7,0
5600,5609,1640,3,1,100,1,528,8,1488,15,2528,0.0082,20,291,1510,4,8,16224,0,3,1,0,3,5,0,3,6,0,3,7,0
5800,5809,1713,3,1,100,3,532,14,1545,18,2599,0.0421,20,286,1493,4,8,16815,0,3,1,0,3,3,0,3,4,0,3,4,0
6000,6009,1771,3,0,101,1,541,6,1540,16,2684,0.0325,20,320,1534,7,14,17416,0,3,3,0,3,7,0,3,6,0,3,6,0
6200,6209,1827,5,1,101,1,540,9,1571,19,2754,0.0506,20,346,1585,8,16,18021,1,3,5,0,3,6,0,3,6,0,3,8,0
6400,6409,1880,7,0,99,2,543,11,1600,19,2827,0.0557,20,328,1598,6,12,18625,1,3,4,0,3,6,0,3,0,0,3,3,0
6600,6609,1946,9,1,96,5,542,12,1606,19,2883,0.0834,20,295,1615,8,16,19231,1,3,2,0,3,1,0,3,2,0,3,7,0
6800,6809,2021,11,0,99,4,559,8,1651,20,2943,0.0845,20,312,1622,8,16,19832,1,3,3,0,3,4,0,3,5,0,3,5,0
7000,7009,2066,13,0,98,3,570,10,1705,20,3137,0.0817,20,317,1735,8,16,20403,1,3,1,0,3,5,0,3,2,0,3,6,0
7200,7209,2123,15,0,98,3,567,13,1750,20,3199,0.0864,20,374,1730,5,10,21004,1,3,2,0,3,3,0,3,7,0,3,5,0
7400,7409,2177,17,1,101,7,584,16,1777,20,3280,0.0901,20,324,1761,6,12,21606,1,3,2,0,3,3,0,3,5,0,3,3,0
7600,7609,2242,19,2,103,8,556,17,1777,20,3358,0.0984,20,392,1801,7,14,22205,1,3,7,0,3,7,0,3,3,0,3,4,0
7800,7809,2305,21,0,100,3,581,17,1834,20,3453,0.1042,20,358,1830,6,12,22787,1,3,2,0,3,10,0,3,5,0,3,3,0
8000,8009,2363,23,0,102,6,583,16,1843,20,3516,0.1124,20,385,1840,4,8,23381,1,3,4,0,3,5,0,3,2,0,3,9,0
8200,8209,2421,25,3,95,1,589,19,1864,20,3579,0.102,20,363,1849,3,6,23973,1,3,0,0,5,10,1,3,3,0,3,5,0
8400,8409,2485,27,1,102,8,573,17,1883,20,3668,0.1167,20,397,1871,3,6,24568,1,3,0,0,7,11,1,3,4,0,3,2,0
8600,8609,2541,29,1,101,9,588,19,1922,20,3763,0.1036,20,433,1901,3,6,25153,1,3,1,0,10,14,1,3,4,0,3,7,0
8800,8809,2607,31,3,99,5,595,16,1967,20,3866,0.1141,20,410,1967,3,6,25725,1,5,2,1,12,15,1,3,8,0,3,5,0
9000,9009,2671,33,2,102,12,589,18,1979,20,3930,0.1018,20,383,1980,4,8,26323,1,7,8,1,14,16,1,3,3,0,5,5,1
9200,9209,2729,35,3,101,8,601,17,2015,20,4018,0.0802,20,401,2010,4,8,26918,1,9,5,1,16,13,1,3,5,0,8,6,1
9400,9409,2788,37,1,102,7,590,20,2006,20,4078,0.0791,20,443,1998,3,6,27517,1,9,6,0,18,16,1,3,5,0,10,7,1
9600,9609,2843,40,2,100,9,603,19,2040,20,4160,0.0849,20,384,1995,4,8,28119,1,9,11,0,20,19,1,3,3,0,12,12,1
9800,9809,2908,42,1,97,8,595,17,2034,20,4229,0.0817,20,426,2058,5,10,28711,1,9,8,0,22,12,1,5,3,1,14,10,1
10000,10009,2972,44,3,101,11,605,18,2048,20,4256,0.0841,20,411,2045,5,10,29303,1,9,7,0,25,17,1,7,12,1,16,12,1
10200,10209,3039,46,0,101,8,590,20,2001,20,4336,0.0938,20,440,2063,6,12,29898,1,11,8,1,27,15,1,9,9,1,18,16,1
10400,10409,3099,49,2,100,12,620,20,2071,20,4419,0.0892,20,367,2094,6,12,30497,1,13,8,1,29,18,1,11,14,1,20,14,1
10600,10609,3154,51,2,100,9,598,18,2087,20,4500,0.0863,20,406,2142,5,10,31099,1,15,13,1,31,20,1,13,11,1,22,11,1
10800,10809,3205,53,1,101,4,613,20,2107,20,4537,0.0778,20,396,2114,5,10,31695,1,17,11,1,33,15,1,15,15,1,24,18,1
11000,11009,3259,55,2,100,9,626,19,2111,20,4640,0.0815,20,417,2122,5,10,32296,1,19,12,1,35,19,1,17,14,1,26,16,1
11200,11209,3309,57,2,101,9,620,20,2122,20,4690,0.0794,20,421,2113,6,12,32903,1,21,12,1,37,17,1,19,16,1,28,17,1
11400,11409,3390,60,1,104,9,599,18,2148,20,4743,0.0675,20,447,2155,6,12,33504,1,25,13,1,39,19,1,21,15,1,30,18,1
11600,11609,3452,63,0,100,9,614,19,2172,20,4810,0.0636,20,422,2147,6,12,34102,1,27,15,1,42,17,1,23,16,1,32,16,1
11800,11809,3504,67,1,101,12,613,20,2147,20,4888,0.0646,20,455,2206,9,18,34713,1,29,16,1,44,19,1,25,15,1,35,14,1
12000,12009,3567,69,5,100,9,608,19,2176,20,4953,0.0727,20,458,2198,10,20,35324,1,31,18,1,46,18,1,27,17,1,37,17,1
12200,12209,3634,73,0,99,13,613,20,2207,20,5046,0.0672,20,482,2209,10,20,35924,1,33,17,1,48,20,1,29,15,1,40,18,1
12400,12409,3691,77,2,100,12,621,19,2205,20,5107,0.0578,20,451,2252,9,18,36530,1,35,16,1,50,18,1,31,11,1,42,16,1
12600,12609,3761,79,0,102,8,622,20,2261,20,5195,0.0713,20,477,2252,10,20,37138,1,38,18,1,53,19,1,33,17,1,45,17,1
12800,12809,3823,81,2,101,12,641,20,2279,20,5260,0.0814,20,490,2296,12,24,37746,1,40,17,1,55,20,1,35,15,1,47,17,1
13000,13009,3878,83,0,103,12,623,20,2273,20,5299,0.0789,20,474,2295,11,22,38361,1,42,19,1,57,20,1,37,17,1,50,16,1
13200,13209,3937,85,5,102,11,667,20,2340,20,5483,0.0829,20,501,2352,10,20,38925,1,44,19,1,59,20,1,39,17,1,54,17,1
13400,13409,4004,87,3,102,9,641,20,2378,20,5561,0.0856,20,503,2409,10,20,39524,1,46,18,1,62,20,1,40,18,1,56,20,1
13600,13609,4065,89,2,105,13,644,20,2385,20,5644,0.0929,20,499,2400,10,20,40114,1,48,16,1,64,20,1,42,15,1,58,20,1
13800,13809,4122,93,2,101,11,654,20,2376,20,5743,0.0833,20,543,2445,9,18,40717,1,50,18,1,67,18,1,44,20,1,61,20,1
14000,14009,4190,95,4,102,14,655,19,2414,20,5791,0.0854,20,491,2468,8,16,41323,1,52,18,1,70,20,1,46,18,1,63,19,1
14200,14209,4259,97,2,104,11,656,20,2450,20,5876,0.0927,20,528,2425,6,12,41921,1,54,18,1,72,20,1,48,19,1,65,19,1
