step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
8400,8409,2464,3,0,100,0,556,4,1790,5,3587,0.0615,20,355,1810,0,0,24390,0,3,1,0,3,3,1,3,5,0,3,6,0
8600,8609,2514,3,0,98,1,582,0,1801,7,3647,0.0453,20,397,1811,0,0,24986,0,3,2,0,3,5,1,3,5,0,3,6,0
8800,8809,2584,3,0,100,2,575,1,1856,9,3719,0.0582,20,405,1865,0,0,25567,0,3,0,0,3,4,1,3,5,0,3,1,0
9000,9009,2657,3,0,98,0,579,3,1902,6,3837,0.0783,20,389,1871,0,0,26148,1,3,5,0,3,0,1,3,1,0,3,5,0
9200,9209,2704,3,2,101,1,586,5,1900,8,3931,0.0608,20,411,1860,0,0,26741,1,3,4,0,3,5,1,3,5,0,3,3,0
9400,9409,2766,3,0,102,2,593,4,1879,6,3967,0.0803,20,369,1915,0,0,27331,1,3,2,0,3,5,1,3,3,1,3,7,0
9600,9609,2834,3,0,97,0,593,3,1886,11,4084,0.0803,20,364,1940,0,0,27914,1,3,3,0,3,5,1,3,4,1,3,3,0
9800,9809,2905,3,0,96,1,602,1,1927,6,4088,0.0596,20,345,1968,0,0,28495,1,3,1,0,3,4,1,3,3,1,3,4,0
10000,10009,2965,3,0,97,1,579,1,1956,3,4199,0.143,20,390,1936,0,0,29087,1,3,2,0,3,1,1,3,2,1,3,5,0
10200,10209,3024,3,0,97,1,611,2,1924,12,4223,0.1431,20,420,1988,0,0,29679,1,3,1,0,3,6,1,3,3,1,3,3,0
10400,10409,3090,3,1,94,2,584,6,1984,7,4264,0.1098,20,360,1966,0,0,30272,1,3,5,0,3,5,1,3,4,1,3,3,0
10600,10609,3154,3,0,100,1,599,1,2020,7,4342,0.0831,20,435,2011,0,0,30858,1,3,2,0,3,2,1,3,3,1,3,2,1
10800,10809,3207,3,1,100,1,606,3,2018,11,4412,0.0618,20,433,1970,0,0,31447,1,3,3,0,3,2,1,3,4,1,3,5,1
11000,11009,3272,3,0,100,0,590,0,2047,7,4497,0.0448,20,368,2059,0,0,32022,1,3,0,0,3,2,1,3,4,1,3,2,1
11200,11209,3329,3,0,98,0,596,2,2033,10,4562,0.0311,20,433,2036,0,0,32617,1,3,1,0,3,2,1,3,3,1,3,3,1
11400,11409,3391,3,0,99,1,600,1,2064,9,4625,0.0202,20,382,2031,0,0,33203,1,3,0,0,3,3,1,3,4,1,3,2,1
11600,11609,3454,3,0,99,0,602,0,2009,6,4677,0,20,401,2037,0,0,33792,0,3,3,0,3,0,1,3,4,1,3,1,1
11800,11809,3516,3,0,100,0,604,2,2115,10,4832,0,20,437,2103,0,0,34369,0,3,2,0,3,5,1,3,5,1,3,2,1
12000,12009,3580,3,0,99,0,614,2,2108,12,4886,0.0332,20,436,2124,0,0,34959,0,3,0,0,3,2,1,3,2,1,3,5,1
12200,12209,3638,3,0,100,0,597,2,2151,3,4963,0.0196,20,430,2100,0,0,35550,0,3,2,0,3,6,1,3,4,1,3,1,1
12400,12409,3696,3,0,96,1,599,1,2133,7,5074,0.0087,20,441,2178,0,0,36132,0,3,3,0,3,0,1,3,2,1,3,1,1
12600,12609,3757,3,0,100,0,620,0,2157,6,5105,0.0602,20,454,2161,0,0,36727,0,3,1,0,3,3,1,3,2,1,3,4,1
12800,12809,3825,3,1,97,0,606,2,2193,5,5161,0.0404,20,422,2200,0,0,37314,0,3,1,0,3,3,1,3,3,1,3,6,1
13000,13009,3880,3,0,100,1,605,1,2170,7,5231,0.0246,20,417,2174,0,0,37902,0,3,3,0,3,3,1,3,2,1,3,7,1
13200,13209,3936,3,0,103,0,616,1,2193,6,5271,0.0122,20,469,2148,0,0,38495,0,3,2,0,3,4,1,3,0,1,3,4,1
13400,13409,3999,3,0,100,0,617,2,2243,5,5361,0.0281,20,477,2234,0,0,39073,0,3,3,0,3,4,1,3,2,1,3,2,0
13600,13609,4075,3,1,101,0,608,5,2287,13,5503,0.0147,20,449,2286,0,0,39648,0,3,2,0,3,4,1,3,3,1,3,2,0
13800,13809,4139,3,1,100,2,626,3,2216,12,5534,0.0042,20,498,2263,0,0,40239,0,3,1,0,3,2,1,3,1,1,3,4,0
14000,14009,4209,3,1,102,0,633,7,2312,8,5619,0.014,20,456,2291,0,0,40817,0,3,2,0,3,4,1,3,1,1,3,2,0
14200,14209,4270,3,0,99,0,614,3,2252,11,5721,0.0935,20,476,2316,0,0,41403,0,3,1,0,3,2,1,3,3,1,3,4,0
