step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
8400,8409,2482,23,0,97,10,607,19,2013,20,3748,0.117,20,390,1987,4,8,24360,1,3,4,0,3,1,0,3,3,0,3,4,0
8600,8609,2544,25,0,103,5,611,18,2013,19,3820,0.1035,20,458,1968,4,8,24952,1,3,3,0,3,4,0,5,4,1,3,4,0
8800,8809,2603,27,0,100,8,620,14,2009,20,3927,0.1016,20,439,2037,4,8,25530,1,3,2,0,3,4,0,7,8,1,3,5,0
9000,9009,2672,30,0,101,7,625,17,2064,20,3968,0.1121,20,450,2012,5,10,26120,1,5,6,1,5,7,1,9,13,1,3,5,0
9200,9209,2741,32,2,103,7,619,19,2054,20,4038,0.1149,20,432,2047,5,10,26715,1,7,7,1,7,6,1,11,9,1,3,5,0
9400,9409,2804,35,4,102,6,607,18,2095,20,4125,0.094,20,453,2123,5,10,27308,1,9,6,1,9,11,1,13,16,1,3,7,0
9600,9609,2859,37,1,101,9,617,19,2073,20,4184,0.0953,20,425,2096,4,8,27910,1,11,8,1,12,7,1,15,13,1,3,5,0
9800,9809,2920,39,1,101,6,613,18,2146,20,4293,0.0985,20,447,2138,4,8,28501,1,13,11,1,14,12,1,17,16,1,3,6,0
10000,10009,2976,42,2,101,9,646,19,2130,20,4345,0.1096,20,439,2106,4,8,29095,1,15,9,1,16,15,1,19,10,1,3,2,0
10200,10209,3041,44,3,99,12,632,18,2147,20,4396,0.1001,20,490,2170,4,8,29684,1,17,12,1,18,13,1,21,15,1,3,3,0
10400,10409,3100,46,1,105,6,618,19,2138,20,4476,0.0933,20,449,2179,4,8,30266,1,19,12,1,20,16,1,23,17,1,3,5,0
10600,10609,3161,48,0,104,8,616,20,2134,20,4519,0.0884,20,466,2198,5,10,30864,1,21,15,1,22,15,1,26,15,1,3,3,0
10800,10809,3217,50,0,100,11,634,19,2201,20,4627,0.0835,20,441,2169,5,10,31464,1,24,14,1,25,17,1,28,19,1,3,3,0
11000,11009,3270,53,3,101,10,635,19,2182,20,4659,0.1084,20,411,2168,6,12,32064,1,26,14,1,29,20,1,31,19,1,3,3,0
11200,11209,3337,56,3,102,11,622,20,2209,20,4705,0.1083,20,448,2175,5,10,32653,1,28,12,1,31,18,1,33,20,1,3,3,0
11400,11409,3395,59,3,102,12,620,19,2175,20,4790,0.1082,20,448,2183,5,10,33253,1,30,15,1,33,16,1,35,14,1,3,3,0
11600,11609,3451,61,1,100,8,643,20,2214,20,4855,0.0985,20,474,2227,5,10,33848,1,32,17,1,35,16,1,38,18,1,3,3,0
11800,11809,3511,63,0,99,6,623,20,2251,20,4953,0.0805,20,452,2263,5,10,34429,1,34,19,1,38,17,1,41,16,1,3,6,0
12000,12009,3567,65,0,99,9,624,19,2294,20,5008,0.0821,20,472,2273,6,12,35027,1,36,16,1,40,19,1,43,19,1,3,2,0
12200,12209,3627,67,4,100,8,630,20,2299,20,5101,0.0675,20,455,2252,5,10,35627,1,36,19,0,43,17,1,45,18,1,3,1,0
12400,12409,3695,70,2,100,6,639,19,2265,20,5138,0.0659,20,490,2345,5,10,36217,1,36,15,0,45,17,1,47,17,1,3,3,0
12600,12609,3758,72,0,101,9,649,18,2318,20,5219,0.0693,20,506,2323,5,10,36811,1,36,19,0,47,19,1,50,17,1,3,7,0
12800,12809,3822,75,3,99,6,626,20,2334,20,5271,0.0629,20,474,2340,5,10,37399,1,36,17,0,49,18,1,53,18,1,3,5,0
13000,13009,3875,77,2,104,9,632,20,2331,20,5281,0.0619,20,495,2370,5,10,37999,1,38,17,1,51,18,1,55,19,1,3,5,0
13200,13209,3932,79,3,103,11,656,20,2283,20,5376,0.0566,20,491,2336,5,10,38591,1,40,19,1,53,18,1,57,18,1,3,3,0
13400,13409,3996,81,6,103,7,631,20,2372,20,5436,0.0734,20,478,2372,4,8,39182,1,42,18,1,55,19,1,59,18,1,3,5,0
13600,13609,4058,83,5,104,11,654,20,2354,20,5510,0.0753,20,486,2321,5,10,39770,1,44,16,1,58,19,1,61,20,1,5,6,1
13800,13809,4111,85,1,101,13,647,20,2391,20,5582,0.0722,20,521,2418,5,10,40372,1,47,17,1,60,17,1,63,19,1,7,7,1
14000,14009,4167,88,3,101,11,645,20,2419,20,5648,0.0954,20,473,2377,4,8,40965,1,49,20,1,62,17,1,65,20,1,7,5,0
14200,14209,4233,90,4,101,12,667,19,2338,20,5674,0.0979,20,456,2368,4,8,41564,1,51,19,1,64,18,1,67,19,1,7,7,0
