step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,48,-1,0,58,0,109,0,122,0,125,0,11,14,123,0,0,575,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,103,-1,0,69,0,174,0,225,0,238,0,13,41,222,0,0,1146,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,163,-1,0,77,0,217,0,310,0,327,0,20,59,296,0,0,1726,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,221,-1,0,81,0,248,0,382,0,423,0,18,62,381,0,0,2299,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,281,-1,0,86,0,286,0,470,0,539,0,20,91,474,2,4,2870,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,344,-1,0,84,0,309,0,512,0,614,0,20,85,514,2,4,3454,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,404,-1,0,86,0,312,0,550,0,679,0,20,112,566,1,2,4046,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,469,-1,0,86,0,353,0,638,0,802,0,20,116,636,1,2,4612,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,531,-1,0,92,0,360,0,700,0,863,0,20,141,698,1,2,5193,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,597,-1,0,92,0,373,0,730,0,941,0,20,140,725,3,6,5785,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,673,-1,0,94,0,376,0,778,0,1018,0,20,149,782,3,6,6366,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,725,-1,0,92,0,408,0,841,0,1136,0,20,147,859,7,14,6948,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,794,-1,0,92,0,411,0,875,0,1218,0,20,168,886,5,10,7532,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,844,-1,0,95,0,448,0,956,0,1335,0,20,198,974,2,4,8092,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,920,3,0,96,8,448,6,1018,14,1420,0,20,185,1051,1,2,8658,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,984,3,1,96,0,455,7,1054,12,1491,0,20,214,1053,2,4,9244,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,1047,3,0,97,2,478,6,1088,14,1580,0,20,237,1106,2,4,9831,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3600,3609,1114,3,1,98,2,480,6,1136,11,1606,0.009,20,255,1126,2,4,10423,0,3,9,0,-1,0,0,-1,0,0,-1,0,0
3800,3809,1171,3,1,96,0,466,5,1150,15,1714,0.007,20,236,1142,1,2,11014,0,3,8,0,-1,0,0,-1,0,0,-1,0,0
4000,4009,1234,3,1,97,1,491,8,1215,13,1836,0.0054,20,241,1209,1,2,11588,0,3,7,0,-1,0,0,-1,0,0,-1,0,0
4200,4209,1311,3,0,96,2,488,7,1240,11,1891,0.0042,20,244,1228,1,2,12172,0,3,7,0,3,8,0,-1,0,0,-1,0,0
4400,4409,1376,3,0,99,0,521,8,1288,10,2001,0.0032,20,259,1310,1,2,12735,0,3,5,0,3,3,0,-1,0,0,-1,0,0
4600,4609,1433,3,0,98,3,513,6,1296,12,2081,0.0024,20,284,1321,5,10,13334,0,3,4,0,3,3,0,-1,0,0,-1,0,0
4800,4809,1494,3,0,96,1,525,5,1383,6,2159,0.0017,20,259,1340,5,10,13928,0,3,5,0,3,2,0,3,5,0,-1,0,0
5000,5009,1555,3,0,95,1,533,10,1390,8,2223,0.0125,20,278,1429,5,10,14519,0,3,4,0,3,6,0,3,3,0,-1,0,0
5200,5209,1600,3,0,98,0,545,3,1460,10,2359,0.0096,20,299,1438,4,8,15096,0,3,6,0,3,2,0,3,8,0,-1,0,0
5400,5409,1667,3,0,102,2,533,6,1501,10,2451,0.0168,20,315,1509,3,6,15678,0,3,5,0,3,5,0,3,6,0,3,3,0
5600,5609,1728,3,0,98,1,539,5,1552,9,2545,0.0129,20,297,1546,2,4,16243,0,3,5,0,3,6,0,3,4,0,3,6,0
5800,5809,1786,3,0,98,0,536,3,1585,10,2615,0.0548,20,360,1578,3,6,16831,0,3,3,0,5,8,1,3,1,0,3,4,0
6000,6009,1849,5,0,98,3,568,5,1619,10,2703,0.0604,20,341,1588,3,6,17423,1,3,3,0,7,9,1,3,7,0,3,4,0
6200,6209,1897,7,0,97,4,552,10,1633,16,2795,0.0607,20,307,1613,2,4,18011,1,3,4,0,9,10,1,3,2,0,3,4,0
6400,6409,1955,9,3,101,5,575,10,1666,18,2847,0.0469,20,329,1636,2,4,18608,1,3,2,0,11,15,1,3,7,0,3,3,0
6600,6609,2017,11,2,100,7,571,13,1649,18,2913,0.036,20,319,1649,2,4,19202,1,3,9,0,13,13,1,3,2,0,3,3,0
6800,6809,2083,13,0,99,4,556,14,1726,19,3019,0.0716,20,370,1720,2,4,19763,1,3,4,0,16,10,1,3,5,0,3,2,0
7000,7009,2142,15,1,101,4,559,10,1768,19,3057,0.0644,20,322,1699,2,4,20351,1,3,4,0,18,12,1,3,1,0,3,1,0
7200,7209,2204,17,0,103,7,584,11,1734,20,3138,0.0637,20,320,1739,2,4,20941,1,3,4,0,20,16,1,3,2,0,3,4,0
7400,7409,2267,19,0,102,6,566,14,1760,20,3188,0.0864,20,360,1758,2,4,21530,1,3,2,0,22,16,1,3,8,0,3,3,0
7600,7609,2335,21,2,99,5,598,16,1817,20,3280,0.08,20,386,1794,3,6,22109,1,3,2,0,24,13,1,3,2,0,3,3,0
7800,7809,2393,24,0,101,7,578,18,1791,20,3359,0.0784,20,340,1801,3,6,22709,1,3,2,0,26,15,1,3,2,0,3,3,0
8000,8009,2458,26,2,104,11,580,14,1827,20,3426,0.0672,20,325,1803,3,6,23300,1,3,2,0,28,15,1,3,3,0,3,3,0
8200,8209,2527,29,2,97,6,611,15,1949,20,3547,0.0684,20,380,1918,4,8,23859,1,3,2,0,30,18,1,5,10,1,3,1,0
8400,8409,2595,31,4,100,11,597,18,1917,20,3616,0.0807,20,375,1939,4,8,24454,1,3,3,0,32,19,1,7,13,1,3,3,0
8600,8609,2655,33,0,101,7,586,19,1965,20,3683,0.0784,20,364,1924,4,8,25045,1,3,7,0,34,19,1,9,12,1,3,3,0
8800,8809,2717,35,1,100,10,594,20,1954,20,3747,0.0769,20,382,1972,4,8,25639,1,3,9,0,36,18,1,11,15,1,3,1,0
9000,9009,2773,38,1,99,10,603,16,1913,20,3835,0.0787,20,393,1962,3,6,26227,1,3,5,0,38,17,1,13,13,1,3,3,0
9200,9209,2834,40,1,102,9,609,19,1976,20,3885,0.0824,20,406,1965,4,8,26825,1,3,2,0,40,20,1,15,17,1,3,2,0
9400,9409,2885,43,2,100,8,612,20,1984,20,3979,0.0754,20,373,2047,4,8,27416,1,3,4,0,42,20,1,17,11,1,3,4,0
9600,9609,2955,46,0,100,9,617,20,2017,20,4030,0.0865,20,393,1996,5,10,28007,1,3,3,0,44,19,1,19,15,1,5,3,1
9800,9809,3019,49,2,103,11,606,19,2073,20,4086,0.0939,20,398,2057,5,10,28603,1,3,3,0,46,20,1,22,15,1,7,9,1
10000,10009,3070,51,0,101,11,616,19,2054,20,4195,0.0958,20,404,2057,5,10,29193,1,3,3,0,48,17,1,24,14,1,10,11,1
10200,10209,3123,53,2,95,11,599,18,2084,20,4251,0.0913,20,403,2067,7,14,29790,1,3,1,0,52,20,1,26,17,1,12,11,1
10400,10409,3179,55,1,102,12,619,19,2105,20,4329,0.0817,20,408,2098,7,14,30398,1,3,1,0,54,20,1,28,17,1,14,13,1
10600,10609,3254,57,0,100,7,619,20,2103,20,4383,0.0894,20,416,2088,6,12,30995,1,3,3,0,57,19,1,30,14,1,16,12,1
10800,10809,3322,62,0,102,10,607,19,2169,20,4482,0.0853,20,428,2116,5,10,31577,1,3,0,0,59,19,1,33,18,1,19,15,1
11000,11009,3373,65,2,102,11,617,20,2173,20,4571,0.0872,20,394,2089,5,10,32174,1,3,3,0,61,20,1,37,19,1,22,14,1
11200,11209,3434,68,2,103,9,612,20,2171,20,4625,0.0781,20,438,2156,4,8,32770,1,3,4,0,64,19,1,39,19,1,24,18,1
11400,11409,3509,71,3,101,10,621,20,2180,20,4678,0.0879,20,443,2176,6,12,33369,1,5,4,1,67,20,1,41,19,1,26,14,1
11600,11609,3562,73,2,103,8,632,19,2153,20,4791,0.0788,20,410,2187,6,12,33966,1,7,6,1,69,20,1,43,20,1,28,15,1
11800,11809,3620,75,3,101,6,633,19,2151,20,4809,0.0877,20,419,2166,6,12,34561,1,9,8,1,71,18,1,45,18,1,32,16,1
12000,12009,3673,78,2,102,9,626,19,2233,20,4907,0.0986,20,471,2236,6,12,35161,1,11,11,1,73,20,1,47,19,1,34,19,1
12200,12209,3734,80,3,104,13,635,18,2240,20,4928,0.0824,20,459,2207,7,14,35768,1,13,12,1,75,19,1,49,20,1,36,18,1
12400,12409,3800,82,1,105,13,629,20,2262,20,5063,0.0893,20,468,2271,6,12,36366,1,15,14,1,78,20,1,51,19,1,38,18,1
12600,12609,3859,84,0,102,11,634,20,2248,20,5094,0.0955,20,445,2253,6,12,36968,1,17,11,1,81,20,1,53,19,1,42,20,1
12800,12809,3925,86,3,99,9,642,20,2250,20,5178,0.0851,20,452,2294,6,12,37571,1,19,12,1,84,20,1,55,20,1,44,16,1
13000,13009,3987,88,0,101,7,627,20,2283,20,5312,0.1024,20,452,2248,6,12,38155,1,22,16,1,86,20,1,57,19,1,46,18,1
