step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
7600,7609,2315,-1,0,97,0,554,0,1728,0,3171,0,20,345,1703,7,14,22170,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
7800,7809,2382,-1,0,98,0,555,0,1740,0,3245,0,20,336,1748,6,12,22767,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8000,8009,2448,-1,0,98,0,571,0,1790,0,3366,0,20,325,1776,5,10,23346,0,1,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8200,8209,2510,-1,0,98,0,573,0,1776,0,3442,0,20,363,1784,6,12,23941,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8400,8409,2561,-1,0,99,0,582,0,1833,0,3544,0,20,375,1814,5,10,24543,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8600,8609,2623,-1,0,99,0,578,0,1836,0,3588,0,20,406,1837,6,12,25145,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8800,8809,2685,-1,0,98,0,574,0,1848,0,3615,0,20,374,1831,10,20,25758,0,3,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9000,9009,2744,-1,0,100,0,588,0,1913,0,3728,0,20,374,1874,8,16,26361,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9200,9209,2809,-1,0,100,0,587,0,1916,0,3835,0,20,385,1904,8,16,26955,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9400,9409,2862,-1,0,100,0,592,0,1936,0,3881,0,20,393,1931,6,12,27562,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9600,9609,2926,-1,0,102,0,594,0,1902,0,3951,0,20,365,1893,7,14,28167,0,3,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9800,9809,2977,-1,0,97,0,578,0,1976,0,4009,0,20,443,1961,13,26,28785,0,2,2,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10000,10009,3038,-1,0,99,0,565,0,1968,0,4057,0,20,394,1928,15,30,29398,0,0,2,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10200,10209,3087,-1,0,103,0,593,0,1979,0,4168,0,20,405,1988,12,24,30007,0,0,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10400,10409,3146,-1,0,101,0,620,0,2036,0,4284,0,20,398,2040,11,22,30586,0,2,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10600,10609,3207,-1,0,102,0,594,0,2035,0,4364,0,20,390,2014,11,22,31204,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10800,10809,3268,-1,0,101,0,616,0,2100,0,4407,0,20,434,2087,10,20,31807,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11000,11009,3325,-1,0,101,0,609,0,2087,0,4489,0,20,424,2073,8,16,32408,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11200,11209,3391,-1,0,100,0,621,0,2114,0,4582,0,20,416,2089,5,10,32995,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11400,11409,3458,-1,0,100,0,634,0,2105,0,4626,0,20,433,2104,7,14,33602,0,0,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11600,11609,3508,-1,0,98,0,615,0,2133,0,4695,0,20,437,2159,8,16,34210,0,3,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11800,11809,3564,-1,0,101,0,626,0,2156,0,4763,0,20,445,2130,8,16,34816,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12000,12009,3617,-1,0,99,0,599,0,2172,0,4810,0,20,433,2142,8,16,35418,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12200,12209,3674,-1,0,101,0,614,0,2190,0,4965,0,20,439,2207,12,24,36002,0,4,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12400,12409,3739,-1,0,100,0,620,0,2256,0,5073,0,20,427,2226,11,22,36607,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12600,12609,3801,-1,0,102,0,621,0,2274,0,5115,0,20,486,2241,11,22,37214,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12800,12809,3862,-1,0,102,0,624,0,2268,0,5131,0,20,435,2234,10,20,37823,0,0,0,3,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13000,13009,3924,-1,0,103,0,638,0,2240,0,5209,0,20,506,2276,13,26,38431,0,1,0,3,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13200,13209,3979,-1,0,98,0,645,0,2296,0,5284,0,20,474,2266,15,30,39047,0,4,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13400,13409,4039,-1,0,101,0,621,0,2299,0,5380,0,20,496,2263,12,24,39655,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13600,13609,4098,-1,0,101,0,626,0,2313,0,5413,0,20,511,2291,10,20,40261,0,0,1,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13800,13809,4165,-1,0,99,0,626,0,2334,0,5502,0,20,469,2330,10,20,40868,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14000,14009,4220,-1,0,101,0,629,0,2307,0,5521,0,20,519,2350,10,20,41479,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14200,14209,4273,-1,0,101,0,646,0,2292,0,5604,0,20,466,2319,10,20,42084,0,0,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14400,14339,4329,-1,0,103,0,634,0,2385,0,5617,0,20,476,2361,14,28,42396,0,2,2,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14600,14391,4381,-1,0,103,0,634,0,2367,0,5631,0,20,519,2410,12,24,42420,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14800,14444,4434,-1,0,99,0,650,0,2311,0,5614,0,20,456,2366,11,22,42442,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15000,14505,4495,-1,0,101,0,631,0,2356,0,5634,0,20,530,2405,13,26,42468,0,1,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15200,14563,4553,3,0,104,2,630,3,2400,2,5624,0,20,502,2395,12,24,42492,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
