step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
11200,11209,3386,67,2,102,12,604,20,2107,20,4517,0.2135,20,404,2114,2,4,32749,1,0,0,0,1
11400,11409,3441,69,0,99,11,624,20,2147,20,4646,0.2221,20,447,2200,2,4,33326,1,0,0,0,1
11600,11609,3497,72,1,100,8,634,20,2149,20,4673,0.2199,20,471,2183,3,6,33920,1,1,0,0,1
11800,11809,3551,77,1,99,11,623,20,2231,20,4771,0.2245,20,462,2202,6,12,34524,1,1,0,2,1
12000,12009,3622,79,4,102,11,635,19,2193,20,4891,0.2347,20,460,2214,6,12,35106,1,0,0,0,1
12200,12209,3684,83,4,101,13,632,20,2213,20,4944,0.235,20,475,2232,9,18,35701,1,3,2,0,1
12400,12409,3738,85,3,102,14,629,20,2278,20,4986,0.2153,20,483,2286,9,18,36308,1,0,0,1,1
12600,12609,3796,88,1,102,13,617,20,2305,20,5069,0.2095,20,471,2237,9,18,36921,1,0,0,0,1
12800,12809,3861,90,2,101,10,648,20,2243,20,5085,0.2048,20,457,2278,6,12,37519,1,0,0,0,1
13000,13009,3918,92,5,105,12,632,20,2288,20,5152,0.1961,20,410,2261,6,12,38118,1,0,0,0,1
13200,13209,3974,96,3,100,14,628,20,2286,20,5275,0.1798,20,502,2303,6,12,38716,1,0,0,1,1
13400,13409,4039,99,5,100,11,640,20,2298,20,5296,0.1711,20,515,2348,4,8,39315,1,0,0,0,1
13600,13609,4099,103,0,102,12,642,20,2272,20,5318,0.1491,20,468,2345,4,8,39914,1,1,0,0,1
13800,13809,4150,105,3,102,13,626,20,2317,20,5412,0.1678,20,533,2314,4,8,40505,1,2,0,0,1
14000,14009,4214,107,4,101,16,625,20,2349,20,5486,0.1842,20,434,2339,6,12,41110,1,0,0,2,1
14200,14209,4269,109,2,101,17,658,20,2329,20,5524,0.1972,20,505,2348,6,12,41714,1,0,0,0,1
14400,14409,4336,114,1,100,10,639,20,2355,20,5615,0.1909,20,448,2332,7,14,42312,1,1,0,0,1
14600,14609,4392,116,0,100,15,648,20,2371,20,5635,0.18,20,508,2355,5,10,42913,1,0,0,0,1
14800,14809,4441,119,2,102,10,628,20,2412,20,5741,0.1762,20,485,2385,6,12,43502,1,1,0,1,1
15000,15009,4494,121,4,104,12,641,20,2408,20,5815,0.1833,20,546,2371,6,12,44108,1,0,0,1,1
15200,15209,4565,123,4,103,17,625,20,2448,20,5845,0.1739,20,503,2412,7,14,44705,1,1,0,1,1
15400,15409,4633,127,3,103,12,644,20,2469,20,5979,0.1613,20,503,2451,6,12,45285,1,1,0,1,1
15600,15609,4701,132,0,102,14,653,20,2457,20,6030,0.1613,20,524,2460,6,12,45881,1,0,0,0,1
15800,15809,4761,134,2,101,15,648,20,2514,20,6090,0.1963,20,575,2498,9,18,46489,1,3,0,0,1
16000,16009,4818,136,3,102,14,666,20,2447,20,6188,0.1893,20,527,2418,8,16,47095,1,0,1,0,1
16200,16209,4877,140,3,99,18,674,20,2517,20,6317,0.1887,20,552,2594,8,16,47654,1,0,0,0,1
