step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
7600,7609,2323,-1,0,98,0,550,0,1658,0,3208,0,20,314,1648,0,0,22044,0,2,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
7800,7809,2391,-1,0,97,0,554,0,1660,0,3288,0,20,327,1726,0,0,22627,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8000,8009,2448,-1,0,99,0,547,0,1723,0,3382,0,20,333,1731,0,0,23211,0,0,2,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8200,8209,2498,-1,0,98,0,541,0,1689,0,3441,0,20,343,1745,0,0,23802,0,3,1,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8400,8409,2556,-1,0,98,0,568,0,1763,0,3522,0,20,402,1750,0,0,24388,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8600,8609,2616,-1,0,98,0,572,0,1798,0,3594,0,20,346,1758,0,0,24980,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8800,8809,2682,-1,0,99,0,560,0,1797,0,3651,0,20,352,1767,0,0,25570,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9000,9009,2750,-1,0,99,0,588,0,1778,0,3689,0,20,367,1758,0,0,26167,0,1,0,3,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9200,9209,2816,-1,0,96,0,574,0,1846,0,3767,0,20,381,1821,0,0,26750,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9400,9409,2880,-1,0,97,0,573,0,1791,0,3837,0,20,390,1797,0,0,27336,0,1,1,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9600,9609,2935,-1,0,100,0,582,0,1821,0,3875,0,20,393,1824,0,0,27928,0,3,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9800,9809,3003,-1,0,98,0,575,0,1849,0,3884,0,20,378,1819,0,0,28514,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10000,10009,3056,-1,0,100,0,569,0,1872,0,4018,0,20,396,1878,0,0,29095,0,0,1,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
