step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
11200,11209,3344,36,2,101,4,609,17,2035,20,4627,0.0184,20,424,2116,2,4,32612,1,0,0,0,3
11400,11409,3403,39,0,99,5,620,18,2107,20,4714,0.025,20,425,2101,1,2,33203,1,0,0,0,3
11600,11609,3458,41,0,102,11,619,18,2089,20,4792,0.018,20,417,2145,1,2,33797,1,0,0,0,3
11800,11809,3518,43,0,100,7,613,20,2118,20,4838,0.0218,20,435,2070,2,4,34395,1,0,0,1,3
12000,12009,3588,45,1,100,10,630,17,2183,20,4995,0.035,20,424,2183,4,8,34948,1,0,0,2,3
12200,12209,3645,47,5,102,5,613,20,2205,20,5079,0.0191,20,444,2230,6,12,35549,1,0,0,2,3
12400,12409,3711,49,1,101,7,620,20,2234,20,5115,0.0268,20,460,2233,6,12,36156,1,0,0,0,3
12600,12609,3774,51,1,100,10,621,17,2199,20,5149,0.0334,20,453,2222,3,6,36749,1,0,0,0,3
12800,12809,3840,54,1,98,6,625,19,2258,20,5252,0.0223,20,464,2282,3,6,37327,1,0,0,1,3
13000,13009,3900,56,2,101,11,622,17,2271,20,5328,0.0324,20,456,2257,4,8,37927,1,0,0,1,3
13200,13209,3968,58,1,99,7,623,18,2301,20,5406,0.0264,20,478,2306,3,6,38521,1,0,0,0,3
13400,13409,4023,61,4,100,7,624,19,2294,20,5452,0.0208,20,472,2328,6,12,39125,1,0,0,3,3
13600,13609,4083,63,2,101,9,646,18,2324,20,5538,0.0345,20,481,2370,4,8,39710,1,0,0,0,3
13800,13809,4143,65,0,100,8,632,19,2329,20,5596,0.0379,20,526,2313,5,10,40314,1,0,0,1,3
14000,14009,4207,67,3,102,12,619,19,2305,20,5644,0.0407,20,469,2296,3,6,40912,1,0,0,0,3
14200,14209,4273,69,1,101,12,620,18,2333,20,5666,0.0315,20,430,2323,2,4,41506,1,0,0,0,3
