step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
11200,11209,3335,244,3,100,19,628,20,2139,20,4801,0.1956,20,421,2175,8,8,32684,1,1,0,0,2
11400,11409,3386,250,11,103,20,606,20,2165,20,4816,0.185,20,425,2150,6,6,33277,1,0,0,1,2
11600,11609,3435,256,4,104,20,639,20,2185,20,4941,0.1766,20,453,2231,6,6,33868,1,3,0,0,2
11800,11809,3504,259,5,100,20,622,20,2151,20,4982,0.1548,20,426,2155,3,3,34461,1,1,0,0,2
12000,12009,3557,269,8,101,20,605,20,2174,20,5021,0.1724,20,476,2201,10,10,35063,1,2,0,0,2
12200,12209,3620,283,7,101,19,616,20,2110,20,5084,0.2115,20,454,2223,14,14,35668,1,1,0,1,2
12400,12409,3685,290,10,103,19,626,20,2255,20,5175,0.2028,20,449,2266,7,7,36235,1,0,0,2,2
12600,12609,3753,298,6,102,20,632,20,2329,20,5307,0.2008,20,470,2303,8,8,36814,1,0,0,0,2
12800,12809,3822,302,6,100,20,628,20,2304,20,5386,0.1792,20,453,2302,4,4,37403,1,0,0,1,2
13000,13009,3881,308,6,102,20,650,20,2353,20,5520,0.1719,20,458,2366,6,6,37981,1,1,0,1,2
13200,13209,3947,316,5,102,18,626,20,2357,20,5565,0.1761,20,436,2322,8,8,38574,1,2,0,0,2
13400,13409,4006,322,11,102,20,637,20,2331,20,5660,0.1694,20,498,2370,6,6,39169,1,1,0,1,2
13600,13609,4080,326,7,100,19,635,20,2388,20,5712,0.1591,20,524,2378,4,4,39753,1,2,0,0,2
13800,13809,4140,335,5,103,20,666,20,2472,20,5868,0.1759,20,510,2446,9,9,40323,1,0,0,0,2
14000,14009,4190,342,7,100,20,659,20,2500,20,5941,0.1742,20,489,2433,7,7,40921,1,0,0,0,2
14200,14209,4250,354,10,104,20,644,20,2469,20,5995,0.203,20,472,2433,12,12,41522,1,0,0,0,2
