step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,61,-1,0,57,0,103,0,114,0,118,0,13,22,116,0,0,576,0,0,0,0,0
400,409,122,-1,0,70,0,164,0,203,0,212,0,15,29,204,0,0,1124,0,0,0,0,0
600,609,185,-1,0,76,0,203,0,280,0,299,0,18,54,274,0,0,1698,0,0,0,0,0
800,809,256,-1,0,81,0,244,0,353,0,395,0,20,67,351,0,0,2259,0,0,0,0,0
1000,1009,305,-1,0,85,0,288,0,455,0,518,0,20,92,454,0,0,2820,0,0,0,0,0
1200,1209,365,-1,0,88,0,314,0,531,0,625,0,20,120,526,0,0,3390,0,0,0,0,0
1400,1409,435,-1,0,89,0,331,0,583,0,691,0,20,110,569,0,0,3976,0,0,0,0,0
1600,1609,498,-1,0,92,0,361,0,633,0,777,0,20,110,622,0,0,4542,0,0,0,0,0
1800,1809,559,-1,0,90,0,386,0,720,0,889,0,20,162,721,0,0,5115,0,0,0,0,0
2000,2009,624,-1,0,90,0,389,0,752,0,962,0,20,162,749,0,0,5699,0,0,0,0,0
2200,2209,681,-1,0,94,0,402,0,802,0,1046,0,20,154,804,0,0,6289,0,0,0,0,0
2400,2409,739,-1,0,90,0,410,0,848,0,1123,0,20,172,842,0,0,6868,0,0,0,0,0
2600,2609,805,-1,0,95,0,415,0,886,0,1195,0,20,197,899,0,0,7449,0,0,0,0,0
2800,2809,866,-1,0,91,0,428,0,906,0,1272,0,20,187,911,0,0,8036,0,0,0,0,0
3000,3009,923,3,0,95,1,443,5,989,10,1366,0,20,205,978,0,0,8608,0,0,0,0,0
3200,3209,984,3,0,93,1,448,6,1018,12,1464,0,20,207,1016,0,0,9195,0,0,0,0,0
3400,3409,1039,3,1,93,3,467,4,1057,8,1547,0,20,197,1063,0,0,9778,0,0,0,0,0
3600,3609,1093,3,1,96,4,473,2,1116,7,1653,0,20,216,1141,0,0,10352,0,0,0,0,0
3800,3809,1157,3,0,94,0,492,8,1163,8,1723,0,20,242,1145,0,0,10937,0,0,0,0,0
4000,4009,1214,3,0,100,1,484,5,1190,11,1814,0,20,253,1199,0,0,11528,0,0,0,0,0
4200,4209,1276,3,0,96,1,478,5,1209,6,1872,0,20,240,1208,0,0,12112,0,0,0,0,0
4400,4409,1331,3,0,96,1,490,5,1270,5,1971,0,20,240,1258,0,0,12689,0,0,0,0,0
4600,4609,1397,3,0,97,3,499,3,1304,4,2036,0,20,266,1298,0,0,13272,0,0,0,0,0
4800,4809,1471,3,0,98,1,506,6,1331,10,2131,0,20,258,1324,0,0,13845,0,0,0,0,0
5000,5009,1517,3,0,97,0,513,2,1360,6,2206,0,20,287,1361,0,0,14439,0,0,0,0,0
5200,5209,1581,3,1,101,2,518,2,1381,5,2274,0,20,300,1394,0,0,15026,0,0,0,0,0
5400,5409,1641,3,0,99,3,524,3,1420,10,2362,0,20,308,1396,0,0,15619,0,0,0,0,0
5600,5609,1700,3,0,99,2,527,1,1412,6,2414,0,20,274,1429,0,0,16211,0,0,0,0,0
5800,5809,1772,3,0,98,0,523,0,1424,5,2487,0,20,298,1467,0,0,16792,0,0,0,0,0
6000,6009,1845,3,0,95,1,553,3,1471,6,2584,0.025,20,315,1503,0,0,17370,0,0,0,0,0
6200,6209,1900,3,0,97,2,536,2,1516,6,2659,0.0023,20,300,1509,0,0,17963,0,0,0,0,0
6400,6409,1945,3,1,100,2,539,4,1561,9,2700,0.039,20,316,1520,0,0,18555,0,0,0,0,0
6600,6609,2002,3,0,98,1,531,5,1575,12,2843,0.0206,20,287,1578,0,0,19137,0,0,0,0,0
6800,6809,2061,3,0,97,0,554,1,1599,4,2912,0,20,343,1600,0,0,19730,0,0,0,0,0
7000,7009,2114,3,0,100,1,557,4,1625,6,3009,0,20,334,1652,0,0,20309,0,0,0,0,0
7200,7209,2162,3,0,99,1,554,3,1680,6,3077,0,20,344,1671,0,0,20905,0,0,0,0,0
7400,7409,2227,3,0,98,0,560,2,1691,5,3154,0,20,354,1642,0,0,21496,0,0,0,0,0
7600,7609,2286,3,0,98,2,554,3,1709,6,3185,0,20,333,1688,0,0,22084,0,0,0,0,0
7800,7809,2349,3,0,99,1,559,1,1731,4,3264,0,20,362,1684,0,0,22673,0,0,0,0,0
