step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
11200,11209,3286,112,4,100,14,600,20,2134,20,4711,0.1793,20,395,2097,3,6,32664,1,2,0,0,1
11400,11409,3341,115,3,97,16,620,19,2134,20,4767,0.1977,20,410,2143,3,6,33260,1,0,0,0,1
11600,11609,3403,119,2,102,16,638,19,2088,20,4826,0.1974,20,437,2135,3,6,33853,1,0,0,0,1
11800,11809,3459,123,2,99,15,615,20,2177,20,4922,0.1872,20,416,2113,3,6,34444,1,0,0,0,1
12000,12009,3514,126,3,101,9,605,20,2135,20,4979,0.2003,20,400,2175,3,6,35045,1,0,0,0,1
12200,12209,3562,128,4,101,15,612,20,2218,20,5121,0.1646,20,422,2195,5,10,35619,1,2,0,0,1
12400,12409,3627,133,4,100,16,620,20,2284,20,5280,0.1709,20,423,2290,5,10,36183,1,1,0,0,1
12600,12609,3692,138,2,101,11,617,20,2298,20,5331,0.176,20,460,2325,4,8,36777,1,0,0,0,1
12800,12809,3744,141,4,101,14,646,20,2300,20,5397,0.1651,20,477,2299,3,6,37372,1,0,0,0,1
13000,13009,3796,144,3,102,16,633,20,2295,20,5481,0.1764,20,462,2323,3,6,37969,1,0,0,0,1
13200,13209,3852,147,6,101,15,641,20,2337,20,5520,0.1854,20,505,2365,3,6,38565,1,0,0,0,1
13400,13409,3909,149,5,102,13,627,20,2287,20,5575,0.1926,20,485,2341,4,8,39168,1,2,0,0,1
13600,13609,3977,152,2,102,13,625,20,2337,20,5693,0.1983,20,462,2332,5,10,39765,1,1,0,0,1
13800,13809,4032,155,3,100,18,644,20,2357,20,5752,0.208,20,490,2346,5,10,40368,1,0,0,0,1
14000,14009,4098,158,5,100,18,638,20,2342,20,5792,0.2106,20,478,2328,4,8,40966,1,0,0,0,1
