step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
11200,11209,3382,36,1,103,5,621,20,2143,20,4539,0.1568,20,420,2092,8,8,32826,1,0,0,1,1
11400,11409,3443,39,1,103,9,622,19,2109,20,4606,0.1545,20,415,2140,8,8,33420,1,1,0,0,1
11600,11609,3505,41,0,103,12,619,20,2101,20,4650,0.1611,20,451,2115,8,8,34017,1,5,0,0,1
11800,11809,3561,42,0,99,7,609,18,2110,20,4748,0.1363,20,465,2175,7,7,34616,1,1,0,1,1
12000,12009,3621,43,3,100,12,617,17,2161,20,4783,0.1237,20,461,2168,8,8,35213,1,0,0,1,1
12200,12209,3668,46,1,101,8,631,20,2185,20,4840,0.1333,20,426,2200,8,8,35814,1,0,0,0,1
12400,12409,3725,47,2,103,5,608,19,2168,20,4916,0.1304,20,477,2175,7,7,36415,1,0,0,1,1
12600,12609,3793,47,3,101,9,636,20,2161,20,4987,0.1234,20,481,2172,8,8,37009,1,1,0,0,1
12800,12809,3858,48,2,98,9,629,19,2190,20,5044,0.134,20,464,2232,8,8,37600,1,1,0,0,1
13000,13009,3918,49,0,99,7,634,20,2256,20,5120,0.1534,20,448,2227,8,8,38193,1,0,0,0,1
13200,13209,3972,52,1,102,5,639,20,2245,20,5213,0.159,20,455,2185,8,8,38786,1,1,0,0,1
13400,13409,4022,56,1,100,11,634,19,2253,20,5283,0.1842,20,461,2247,7,7,39385,1,0,0,2,1
13600,13609,4079,57,1,103,6,631,20,2288,20,5385,0.191,20,497,2284,8,8,39971,1,1,0,0,1
13800,13809,4149,58,1,101,11,637,19,2255,20,5475,0.1913,20,485,2312,8,8,40560,1,0,0,0,1
14000,14009,4200,61,2,104,12,630,20,2306,20,5524,0.1864,20,526,2296,8,8,41163,1,0,0,1,1
14200,14209,4256,62,0,101,9,632,20,2320,20,5596,0.1616,20,443,2350,7,7,41754,1,0,0,0,1
