step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
7600,7609,2271,-1,0,100,0,570,0,1678,0,3165,0,20,332,1682,3,6,22201,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
7800,7809,2336,-1,0,98,0,557,0,1698,0,3247,0,20,336,1714,3,6,22786,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8000,8009,2389,-1,0,99,0,563,0,1726,0,3310,0,20,378,1699,3,6,23383,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8200,8209,2442,-1,0,101,0,566,0,1745,0,3395,0,20,363,1726,4,8,23981,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8400,8409,2511,-1,0,98,0,567,0,1816,0,3473,0,20,358,1762,8,16,24572,0,3,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8600,8609,2574,-1,0,99,0,584,0,1797,0,3594,0,20,356,1854,9,18,25153,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8800,8809,2632,-1,0,100,0,585,0,1903,0,3715,0,20,397,1918,10,20,25735,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9000,9009,2688,-1,0,100,0,598,0,1934,0,3873,0,20,382,1943,9,18,26328,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9200,9209,2742,-1,0,102,0,591,0,1972,0,3948,0,20,385,1937,10,20,26938,0,2,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9400,9409,2809,-1,0,101,0,610,0,1946,0,4002,0,20,406,1943,12,24,27539,0,1,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9600,9609,2880,-1,0,101,0,601,0,1957,0,4054,0,20,412,1941,9,18,28145,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9800,9809,2941,-1,0,101,0,602,0,1953,0,4103,0,20,433,1976,10,20,28755,0,1,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10000,10009,3000,-1,0,104,0,579,0,2029,0,4209,0,20,427,2016,14,28,29370,0,2,2,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10200,10209,3066,-1,0,101,0,612,0,1995,0,4257,0,20,385,2010,12,24,29983,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
