step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,61,-1,0,57,0,103,0,114,0,118,0,13,22,116,0,0,576,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,114,-1,0,68,0,167,0,212,0,224,0,15,36,212,0,0,1146,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,177,-1,0,77,0,210,0,282,0,308,0,19,52,288,0,0,1731,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,229,-1,0,79,0,250,0,377,0,416,0,20,73,375,0,0,2300,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,283,-1,0,84,0,297,0,470,0,537,0,20,81,456,1,2,2865,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,349,-1,0,85,0,308,0,536,0,627,0,20,106,530,2,4,3432,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,411,-1,0,90,0,343,0,610,0,726,0,20,108,611,2,4,4008,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,473,3,0,92,5,362,8,668,9,815,0,20,112,672,1,2,4591,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,535,3,0,93,1,391,4,745,5,901,0,20,161,729,2,4,5164,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,596,3,0,92,2,380,2,769,8,987,0,20,152,775,1,2,5738,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,661,3,1,93,3,407,9,847,12,1079,0,20,154,850,0,0,6308,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,721,3,0,95,7,412,4,883,7,1149,0.018,20,162,892,5,10,6899,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,793,3,1,96,1,441,4,911,7,1217,0.032,20,175,909,3,6,7475,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,857,3,1,98,1,449,3,975,5,1272,0.0344,20,186,956,3,6,8063,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,923,3,1,98,3,451,1,988,4,1365,0.0566,20,202,1002,3,6,8653,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,987,3,1,97,3,453,0,1010,5,1443,0.0798,20,191,1030,2,4,9236,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,1046,3,1,95,1,461,1,1065,5,1545,0.1131,20,210,1068,3,6,9813,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3600,3609,1104,5,1,95,5,470,6,1106,11,1635,0.1324,20,222,1128,3,6,10396,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3800,3809,1169,7,0,97,4,468,10,1143,12,1695,0.1649,20,234,1145,3,6,10982,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
4000,4009,1234,9,1,98,2,475,14,1197,18,1790,0.1475,20,218,1191,5,10,11555,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
4200,4209,1293,11,0,96,7,487,10,1253,16,1870,0.1319,20,257,1249,4,8,12138,1,3,3,0,-1,0,0,-1,0,0,-1,0,0
4400,4409,1353,15,0,97,8,509,17,1260,20,1946,0.1087,20,234,1266,3,6,12726,1,3,9,0,-1,0,0,-1,0,0,-1,0,0
4600,4609,1413,17,4,95,10,495,15,1280,20,2015,0.0983,20,273,1284,3,6,13318,1,3,9,0,-1,0,0,-1,0,0,-1,0,0
4800,4809,1474,19,0,97,5,508,18,1294,20,2080,0.0933,20,280,1318,3,6,13914,1,3,5,0,-1,0,0,-1,0,0,-1,0,0
5000,5009,1521,22,4,94,7,520,17,1368,20,2181,0.077,20,255,1333,3,6,14502,1,3,7,0,-1,0,0,-1,0,0,-1,0,0
5200,5209,1578,25,1,97,4,523,19,1416,20,2284,0.0581,20,272,1364,2,4,15093,1,3,7,0,-1,0,0,-1,0,0,-1,0,0
5400,5409,1638,27,5,99,10,523,20,1396,20,2361,0.043,20,274,1396,2,4,15682,1,3,7,0,-1,0,0,-1,0,0,-1,0,0
5600,5609,1695,30,2,97,12,533,17,1429,20,2456,0.0309,20,279,1447,2,4,16268,1,3,5,0,-1,0,0,-1,0,0,-1,0,0
5800,5809,1763,32,4,99,9,526,18,1495,20,2559,0.0212,20,279,1480,2,4,16844,1,3,8,0,-1,0,0,-1,0,0,-1,0,0
6000,6009,1816,32,1,100,14,537,17,1508,20,2642,0.0019,20,296,1497,2,4,17430,0,5,9,1,-1,0,0,-1,0,0,-1,0,0
