step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,59,-1,0,59,0,106,0,115,0,120,0,12,20,118,0,0,569,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,125,-1,0,75,0,172,0,215,0,217,0,16,36,215,0,0,1090,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,177,-1,0,78,0,213,0,291,0,322,0,20,75,300,0,0,1668,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,227,-1,0,80,0,260,0,384,0,435,0,20,56,396,0,0,2243,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,281,-1,0,86,0,278,0,458,0,513,0,20,103,451,0,0,2819,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,351,-1,0,87,0,328,0,546,0,630,0,20,114,544,0,0,3359,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,416,-1,0,88,0,340,0,596,0,704,0,20,118,595,0,0,3940,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,473,3,0,90,4,343,12,640,17,791,0,20,106,639,0,0,4515,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,530,3,0,91,1,364,8,715,15,903,0,20,135,719,0,0,5095,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,589,3,3,91,2,378,8,766,11,990,0,20,172,760,0,0,5672,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,638,3,0,90,2,393,4,811,9,1075,0,20,151,804,0,0,6255,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,704,3,2,94,3,418,8,868,12,1158,0,20,195,876,0,0,6835,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,752,3,2,95,1,440,10,953,13,1284,0.0225,20,176,946,0,0,7403,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,814,3,0,95,3,427,7,988,12,1370,0.0176,20,199,973,0,0,7975,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,873,3,0,92,0,456,8,1016,10,1434,0.0522,20,218,1021,0,0,8562,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,927,3,0,92,1,440,7,1074,13,1536,0.0589,20,209,1065,0,0,9139,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,982,3,0,96,1,477,3,1094,17,1599,0.0774,20,197,1071,0,0,9721,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
