step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
8400,8409,2466,3,0,100,0,570,6,1788,8,3602,0,20,408,1790,0,0,24415,0,3,3,1,3,2,1,-1,0,0,-1,0,0
8600,8609,2525,3,0,97,0,575,3,1806,3,3665,0,20,379,1791,0,0,25011,0,3,2,1,3,3,1,-1,0,0,-1,0,0
8800,8809,2594,3,0,97,0,567,4,1860,3,3756,0,20,345,1850,0,0,25592,0,3,2,0,3,2,1,3,1,0,-1,0,0
9000,9009,2661,3,0,102,2,590,1,1829,4,3801,0,20,391,1853,0,0,26184,0,3,1,0,3,5,1,3,1,0,-1,0,0
9200,9209,2728,3,2,103,1,575,3,1870,5,3851,0,20,371,1829,0,0,26779,0,3,3,0,3,7,1,3,1,0,-1,0,0
9400,9409,2787,3,0,101,1,571,2,1894,3,3925,0,20,388,1856,0,0,27368,0,3,3,0,3,3,1,3,4,0,-1,0,0
9600,9609,2850,3,0,98,1,574,1,1897,3,3982,0,20,380,1870,0,0,27949,0,3,2,0,3,2,1,3,1,0,-1,0,0
9800,9809,2918,3,0,99,0,593,2,1901,5,4058,0,20,429,1914,0,0,28531,0,3,1,0,3,7,1,3,1,0,-1,0,0
10000,10009,2988,3,0,99,2,595,4,1917,3,4079,0,20,402,1913,0,0,29124,0,3,3,0,3,4,1,3,1,0,-1,0,0
10200,10209,3057,3,0,95,0,602,3,1930,5,4154,0,20,425,1970,0,0,29705,0,3,3,0,3,4,1,3,3,0,-1,0,0
10400,10409,3119,3,0,99,1,565,2,1945,4,4265,0,20,365,1933,0,0,30292,0,3,3,0,3,5,1,3,2,0,-1,0,0
10600,10609,3184,3,0,99,2,584,4,1982,3,4317,0,20,404,1968,0,0,30877,0,3,1,0,3,4,0,3,3,0,-1,0,0
10800,10809,3238,3,1,99,1,595,0,2015,3,4398,0,20,394,1952,0,0,31467,0,3,3,0,3,4,0,3,2,0,-1,0,0
11000,11009,3296,3,0,101,2,613,1,2062,3,4505,0,20,427,2045,0,0,32032,0,3,3,0,3,4,0,3,2,0,-1,0,0
11200,11209,3344,3,0,101,0,594,1,2023,5,4577,0,20,403,2054,0,0,32626,0,3,3,0,3,3,0,3,1,1,3,1,0
11400,11409,3405,3,1,100,0,593,3,2072,1,4659,0,20,409,2054,0,0,33215,0,3,1,0,3,4,0,3,2,1,3,1,0
11600,11609,3460,3,0,99,0,609,2,2094,5,4762,0,20,424,2105,0,0,33801,0,3,1,0,3,7,0,3,2,1,3,2,0
11800,11809,3523,3,0,103,0,593,3,2093,7,4798,0,20,433,2115,0,0,34389,0,3,3,0,3,3,0,3,0,1,3,2,0
12000,12009,3580,3,0,102,0,612,3,2115,4,4885,0,20,436,2083,0,0,34981,0,3,0,0,3,3,0,3,1,1,3,2,0
12200,12209,3630,3,0,98,4,604,4,2107,7,4954,0,20,457,2117,0,0,35570,0,3,2,0,3,4,0,3,3,1,3,1,0
12400,12409,3694,3,0,100,1,603,5,2133,3,5013,0,20,455,2147,0,0,36159,0,3,1,0,3,4,0,3,3,0,3,3,0
12600,12609,3745,3,0,102,0,588,3,2123,2,5126,0,20,475,2161,0,0,36752,0,3,5,0,3,4,0,3,1,0,3,1,0
12800,12809,3793,3,0,101,0,600,2,2157,0,5250,0,20,489,2169,0,0,37328,0,3,2,0,3,1,0,3,1,0,3,6,0
13000,13009,3864,3,0,102,1,618,3,2206,1,5294,0,20,465,2177,0,0,37921,0,3,1,0,3,1,0,3,1,0,3,1,0
13200,13209,3933,3,0,103,0,603,0,2178,2,5406,0,20,484,2240,0,0,38507,0,4,4,0,3,2,0,3,2,0,3,0,0
13400,13409,3994,3,0,102,0,625,0,2244,5,5505,0,20,513,2251,0,0,39087,0,4,1,0,3,3,0,3,2,0,3,1,0
13600,13609,4049,3,0,102,1,620,0,2267,0,5534,0,20,505,2192,0,0,39672,0,4,5,0,3,3,0,3,3,0,3,3,0
13800,13809,4110,3,0,102,0,618,1,2289,2,5633,0,20,469,2256,0,0,40260,0,4,5,0,3,5,0,3,3,0,3,4,0
14000,14009,4168,3,0,103,1,608,2,2209,5,5698,0,20,506,2270,0,0,40846,0,4,1,0,3,5,0,3,2,0,3,2,0
14200,14209,4231,3,0,98,0,624,2,2313,3,5793,0,20,482,2293,0,0,41436,0,4,1,0,3,2,0,3,4,0,3,1,0
