step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,56,-1,0,57,0,105,0,119,0,119,0,10,13,116,0,0,571,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,119,-1,0,67,0,158,0,198,0,206,0,16,48,197,0,0,1148,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,177,-1,0,77,0,219,0,304,0,333,0,18,56,303,0,0,1701,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,244,-1,0,80,0,254,0,373,0,419,0,20,79,379,0,0,2268,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,309,-1,0,82,0,273,0,427,0,489,0,20,99,440,0,0,2845,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,366,-1,0,88,0,303,0,506,0,578,0,20,112,501,0,0,3420,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,438,-1,0,89,0,340,0,600,0,701,0,20,121,598,0,0,3960,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,501,-1,0,89,0,357,0,638,0,764,0,19,127,649,0,0,4539,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,561,3,1,89,3,370,7,691,8,869,0,20,130,698,0,0,5104,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,624,3,0,92,1,393,8,765,8,970,0,20,153,772,0,0,5670,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,674,3,0,91,2,409,4,820,6,1059,0,20,180,817,0,0,6250,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,731,3,1,95,3,416,9,881,16,1144,0,20,179,880,0,0,6826,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,788,3,0,95,2,447,11,935,16,1271,0,20,187,930,0,0,7393,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,852,3,0,94,3,462,9,1009,10,1360,0.0138,20,214,1018,0,0,7935,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,908,3,0,97,2,472,10,1051,12,1443,0.0648,20,210,1061,0,0,8521,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,970,3,1,95,3,476,6,1078,12,1507,0.0633,20,206,1056,0,0,9109,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,1028,3,0,100,1,490,5,1162,10,1632,0.0877,20,242,1173,0,0,9669,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3600,3609,1089,3,0,93,2,497,6,1206,6,1707,0.0687,20,239,1179,0,0,10240,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3800,3809,1147,3,0,95,3,507,7,1210,9,1779,0.0868,20,247,1213,0,0,10829,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
4000,4009,1204,3,0,99,2,496,10,1256,7,1830,0.0846,20,237,1241,0,0,11414,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
4200,4209,1270,3,1,99,0,504,3,1267,5,1894,0.1262,20,249,1263,0,0,12005,1,3,7,0,-1,0,0,-1,0,0,-1,0,0
4400,4409,1327,3,0,98,3,496,6,1282,9,1989,0.0994,20,258,1295,0,0,12579,1,3,5,0,-1,0,0,-1,0,0,-1,0,0
