step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
8400,8409,2523,37,0,102,9,590,19,1845,20,3536,0,20,363,1830,8,16,24542,0,3,6,0,5,6,1,-1,0,0,-1,0,0
8600,8609,2583,37,2,102,5,564,19,1888,20,3640,0,20,389,1867,6,12,25126,0,3,4,0,7,10,1,-1,0,0,-1,0,0
8800,8809,2639,37,3,100,13,599,17,1898,20,3682,0,20,408,1892,5,10,25720,0,3,0,0,9,9,1,3,4,0,-1,0,0
9000,9009,2703,37,3,101,7,575,15,1937,20,3789,0,20,419,1907,4,8,26312,0,3,5,0,11,10,1,3,2,0,-1,0,0
9200,9209,2766,37,0,100,4,582,20,1948,20,3865,0,20,407,1933,7,14,26900,0,3,4,0,13,10,1,3,5,0,-1,0,0
9400,9409,2823,37,2,101,10,626,19,2016,20,3958,0,20,412,1960,7,14,27501,0,3,1,0,15,13,1,3,3,0,-1,0,0
9600,9609,2877,37,3,101,3,604,17,2001,20,4006,0,20,374,1975,7,14,28100,0,3,3,0,17,10,1,3,1,0,-1,0,0
9800,9809,2929,37,2,102,1,601,17,1992,19,4086,0,20,356,1973,10,20,28715,0,3,2,0,19,15,1,3,3,0,-1,0,0
10000,10009,2994,37,2,99,7,599,15,1999,20,4161,0,20,421,2008,10,20,29312,0,3,3,0,21,15,1,5,3,1,-1,0,0
10200,10209,3054,37,0,101,7,597,17,2103,20,4237,0,20,439,2084,8,16,29894,0,3,5,0,21,11,0,7,7,1,-1,0,0
10400,10409,3107,37,1,100,7,617,19,2083,20,4355,0,20,397,2079,6,12,30491,0,3,3,0,21,13,0,10,8,1,-1,0,0
10600,10609,3166,37,0,98,7,612,17,2083,20,4417,0,20,424,2091,5,10,31086,0,3,4,0,21,12,0,12,12,1,-1,0,0
10800,10809,3233,37,0,100,9,609,18,2132,20,4446,0,20,469,2145,6,12,31686,0,3,3,0,21,13,0,14,9,1,-1,0,0
11000,11009,3294,37,1,103,5,621,14,2156,20,4530,0,20,416,2140,6,12,32289,0,3,1,0,21,10,0,16,10,1,-1,0,0
11200,11209,3350,37,2,101,7,616,15,2160,20,4615,0,20,445,2122,4,8,32879,0,3,2,0,22,16,0,18,12,1,3,5,0
11400,11409,3402,37,2,101,6,626,15,2176,20,4700,0,20,439,2124,6,12,33477,0,3,5,0,22,15,0,20,15,1,3,3,0
11600,11609,3480,37,0,100,5,641,13,2211,20,4761,0,20,461,2199,6,12,34065,0,3,3,0,22,10,0,23,17,1,3,2,0
11800,11809,3555,38,0,101,6,617,18,2232,20,4804,0,20,442,2198,5,10,34663,0,3,4,0,22,11,0,26,17,1,3,0,0
12000,12009,3629,38,2,98,5,633,15,2182,19,4874,0,20,455,2198,3,6,35252,0,3,2,0,22,16,0,29,17,1,3,2,0
12200,12209,3684,38,1,98,6,649,17,2194,20,4932,0,20,423,2249,6,12,35856,0,3,1,0,22,13,0,31,15,1,3,2,0
12400,12409,3735,38,0,104,5,638,17,2245,20,5032,0,20,461,2261,5,10,36459,0,3,1,0,22,12,0,33,18,1,3,1,0
12600,12609,3819,38,0,105,5,621,16,2215,20,5090,0,20,468,2294,4,8,37053,0,3,1,0,22,12,0,35,14,1,3,5,0
12800,12809,3883,38,1,103,7,647,16,2237,20,5123,0,20,450,2253,5,10,37652,0,3,2,0,22,15,0,38,17,1,3,1,0
13000,13009,3946,38,0,100,9,631,15,2282,20,5191,0,20,433,2254,3,6,38255,0,3,1,0,22,10,0,40,20,1,3,1,0
13200,13209,4005,38,0,102,5,628,19,2342,20,5316,0,20,513,2299,4,8,38832,0,3,0,0,22,9,0,40,15,0,3,4,0
13400,13409,4059,38,1,98,5,651,14,2329,20,5419,0,20,506,2334,5,10,39421,0,3,3,0,22,13,0,40,16,0,3,4,0
13600,13609,4126,38,3,103,7,641,16,2345,20,5438,0,20,495,2297,6,12,40015,0,3,2,0,22,12,0,40,17,0,3,2,0
13800,13809,4179,38,0,102,6,669,15,2409,20,5647,0,20,513,2422,5,10,40565,0,3,6,0,22,13,0,40,18,0,3,0,0
14000,14009,4239,38,3,102,5,637,18,2467,20,5728,0,20,509,2420,2,4,41144,0,3,2,0,22,10,0,40,19,0,3,2,0
14200,14209,4293,38,1,102,6,670,14,2510,20,5815,0,20,493,2483,3,6,41734,0,3,4,0,22,12,0,40,18,0,3,2,0
